weekday,dep_time,n,total_dep_delay,avg_dep_delay,var,std,sme
6,13,9892,71016,7.179134654266074,1.039058103396074e-4,0.010193419953068127,1.0248914332037822e-4
6,14,9739,83859,8.610637642468426,6.139867810162279e-4,0.024778756647907657,2.510859014198104e-4
6,15,10272,85147,8.289232866043614,4.391588433626781e-4,0.020956117086967187,2.06767992358131e-4
6,16,9845,85681,8.702996444895886,6.541231178774615e-4,0.02557583073680035,2.5776377819756156e-4
6,17,10263,91084,8.87498782032544,7.154187652924277e-4,0.026747313235022836,2.6402375248801987e-4
6,18,8954,93212,10.410096046459683,0.002012306364640098,0.04485873788505532,4.7406566874232646e-4
6,19,8367,85264,10.190510338233537,0.00193644332154232,0.044005037456435823,4.8108023063136665e-4
6,20,7273,85348,11.734909940877218,0.004265147900772342,0.06530809980984244,7.65790993034006e-4
6,21,5183,79166,15.27416554119236,0.016008337246881894,0.12652405797666266,0.001757448098138427
6,22,3671,65335,17.797602833015528,0.03685921789555258,0.19198754619910266,0.0031686981161739678
6,23,1668,48220,28.908872901678656,0.3101136452520268,0.5568784833803752,0.013635228329219283
7,4,383,-1662,-4.339425587467363,0.28811883237955166,0.5367670187144061,0.027427513409943222
7,5,5859,-25179,-4.297491039426523,0.018684118186991037,0.1366898613174768,0.001785766016038132
7,6,12367,-30635,-2.4771569499474406,0.006039643437360066,0.07771514290895994,6.988331041067625e-4
7,7,11959,-13054,-1.0915628397023163,0.004403564942187046,0.06635936212914532,6.068128512620796e-4
7,8,12883,754,0.05852674066599395,0.0028947315684605076,0.05380270967581937,4.740188859640533e-4
7,9,12015,25363,2.110944652517686,0.001368114438779525,0.036988031020581846,3.374421469848694e-4
7,10,12329,38840,3.150296049963501,7.373121479177245e-4,0.027153492370553818,2.445466784473511e-4
7,11,12986,55101,4.243107962421069,2.845270713611385e-4,0.01686793026310989,1.4802126028952897e-4
7,12,12936,75981,5.87360853432282,6.5778401520696734e-6,0.0025647300349295387,2.2549745997068075e-5
7,13,12055,84095,6.975943591870593,5.451045201502224e-5,0.007383119395961455,6.724442499624231e-5
7,14,11959,101412,8.479973241909859,4.480020436565137e-4,0.021166058765308995,1.935497276836664e-4
7,15,12446,111750,8.978788365739996,6.359994365611628e-4,0.025219029254932926,2.2605466151366733e-4
7,16,12426,131911,10.615725092547883,0.0015939301675734407,0.039924054999128544,3.5815331112240393e-4
7,17,13518,134500,9.94969670069537,0.0010594442369775384,0.032549105010392196,2.7995152035467354e-4
7,18,12094,157236,13.001157598809327,0.003863798940559348,0.06215946380527545,5.652261906952567e-4
7,19,11640,152757,13.123453608247422,0.004159427316573472,0.06449362229378554,5.977784845108702e-4
7,20,10421,157435,15.107475290279243,0.00767318716456161,0.08759673033031318,8.580907054734047e-4
7,21,7561,138610,18.332231186351013,0.01957861675783761,0.1399236104374012,0.001609167985426547
7,22,5812,116011,19.960598761183757,0.032744310991744796,0.18095389189444033,0.0023735868397527296
7,23,2220,68072,30.663063063063063,0.27033324539167664,0.5199358089145973,0.011035022979514492
4,4,466,-2453,-5.263948497854077,0.28031758935060225,0.5294502708948238,0.024526310185396933
4,5,8234,-32987,-4.006193830459072,0.012564917639850721,0.11209334342346436,0.0012353055476074769
4,6,13858,-36676,-2.6465579448693894,0.005603193302118958,0.07485448084195734,6.35868811762901e-4
4,7,12599,-16330,-1.2961346138582428,0.00441885755185548,0.06647448797738482,5.922253085482288e-4
4,8,12827,623,0.04856942387152101,0.0029168582159855893,0.05400794585971206,4.768646312208132e-4
4,9,11497,24691,2.1476037227102722,0.0014040167166607536,0.03747021105706176,3.494571040993842e-4
4,10,12360,45319,3.6665857605177994,5.051483060240829e-4,0.022475504577741584,2.0216232103746704e-4
4,11,11978,56236,4.69494072466188,1.8049689681797631e-4,0.013434913353571594,1.2275599631649797e-4
4,12,12280,70691,5.756596091205211,1.3603317083128839e-5,0.003688267490723638,3.328305841495773e-5
4,13,11475,84129,7.331503267973856,1.1851868934924123e-4,0.010886628924935452,1.0162886443860251e-4
4,14,10973,96355,8.78109906133236,6.235616236479097e-4,0.024971215902472785,2.3838394356980483e-4
4,15,12100,103975,8.59297520661157,4.8707011645071857e-4,0.022069665073369795,2.0063331884881633e-4
4,16,11298,109194,9.664896441848114,0.0010840052156027152,0.032924234472538845,3.097525573824767e-4
4,17,12751,110357,8.654772174731393,4.8603338717688216e-4,0.022046164908593107,1.9523646193949498e-4
4,18,10967,124974,11.395459104586486,0.002494249861207476,0.049942465509899246,4.768986100160111e-4
4,19,10981,120593,10.981968855295511,0.002112756833991039,0.04596473467769654,4.3863553471948076e-4
4,20,9564,125468,13.118778753659557,0.005055489253366146,0.0711019637799558,7.270458704641014e-4
4,21,6910,115552,16.722431259044864,0.01612919913528104,0.12700078399474957,0.0015278030695374774
4,22,5446,89690,16.468968049944912,0.019494184171000566,0.13962157487652316,0.0018919676829607086
4,23,2066,55617,26.920135527589544,0.2085008217069067,0.4566189020473273,0.010045897134099056
2,4,453,-2618,-5.77924944812362,0.314950440060928,0.561204454776446,0.02636768542310047
2,5,8137,-34465,-4.235590512473885,0.013294675443495609,0.1153025387556389,0.0012782232470216024
2,6,13518,-35305,-2.611702914632342,0.005698771391016931,0.07549020725244387,6.492835451378336e-4
2,7,12427,-15804,-1.2717470024945683,0.004450780343493077,0.06671416898600385,5.984597288996107e-4
2,8,12747,2125,0.1667058915823331,0.002822881919377198,0.05313080010104495,4.705896412456703e-4
2,9,11330,19114,1.68702559576346,0.001770083808749327,0.04207236395484959,3.952591750024212e-4
2,10,12274,36840,3.0014665145836728,8.155384196464921e-4,0.028557633299110978,2.577680897797963e-4
