"","date","carrier","flight_num","origin","dest","dest_state","sched_dep","dep","sched_arr","arr","cancelled","canc_code","distance","weekday","dep_delay","arr_delay"
"776",2017-10-01,"EV",5345,10397,12191,74,2017-10-01 16:35:00,2017-10-01 19:06:00,2017-10-01 17:45:00,2017-10-01 20:11:00,0,NA,696,"Sunday",151,146
"777",2017-12-24,"WN",640,10140,12889,85,2017-12-24 06:00:00,2017-12-24 05:56:00,2017-12-24 06:40:00,2017-12-24 06:28:00,0,NA,486,"Sunday",-4,-12
"778",2017-12-22,"NK",478,11697,13930,41,2017-12-22 08:45:00,2017-12-22 08:43:00,2017-12-22 11:01:00,2017-12-22 10:59:00,0,NA,1182,"Friday",-2,-2
"779",2017-12-09,"AA",1115,13891,11298,74,2017-12-09 10:55:00,2017-12-09 11:00:00,2017-12-09 15:50:00,2017-12-09 15:42:00,0,NA,1188,"Saturday",5,-8
"780",2017-12-27,"WN",5054,10257,10821,35,2017-12-27 16:10:00,2017-12-27 16:09:00,2017-12-27 17:30:00,2017-12-27 17:18:00,0,NA,289,"Wednesday",-1,-12
"781",2017-11-27,"WN",6509,14057,13796,91,2017-11-27 11:50:00,2017-11-27 11:54:00,2017-11-27 13:30:00,2017-11-27 13:19:00,0,NA,543,"Monday",4,-11
"782",2017-11-29,"UA",2073,13303,12266,74,2017-11-29 18:52:00,2017-11-29 18:51:00,2017-11-29 20:44:00,2017-11-29 20:35:00,0,NA,964,"Wednesday",-1,-9
"783",2017-11-04,"AA",1729,11057,13204,33,2017-11-04 11:20:00,2017-11-04 11:17:00,2017-11-04 12:59:00,2017-11-04 12:51:00,0,NA,468,"Saturday",-3,-8
"784",2017-10-06,"AA",2478,11298,14893,91,2017-10-06 16:55:00,2017-10-06 16:51:00,2017-10-06 18:39:00,2017-10-06 18:22:00,0,NA,1431,"Friday",-4,-17
"785",2017-12-03,"UA",1849,11618,10397,34,2017-12-03 10:02:00,2017-12-03 09:57:00,2017-12-03 12:35:00,2017-12-03 12:25:00,0,NA,746,"Sunday",-5,-10
"786",2017-10-12,"AA",30,12892,12478,22,2017-10-12 23:50:00,2017-10-12 23:51:00,2017-10-12 08:24:00,2017-10-12 08:10:00,0,NA,2475,"Thursday",1,-14
"787",2017-10-27,"OO",4877,10431,10397,34,2017-10-27 17:00:00,2017-10-27 17:15:00,2017-10-27 18:07:00,2017-10-27 18:24:00,0,NA,164,"Friday",15,17
"788",2017-11-27,"DL",2062,13487,10721,13,2017-11-27 17:35:00,2017-11-27 17:25:00,2017-11-27 21:28:00,2017-11-27 20:54:00,0,NA,1124,"Monday",-10,-34
"789",2017-11-05,"WN",2968,13232,13204,33,2017-11-05 16:45:00,2017-11-05 18:12:00,2017-11-05 20:20:00,2017-11-05 21:35:00,0,NA,990,"Sunday",87,75
"790",2017-10-07,"AA",2224,14635,11057,36,2017-10-07 16:53:00,2017-10-07 16:50:00,2017-10-07 18:50:00,2017-10-07 18:38:00,0,NA,600,"Saturday",-3,-12
"791",2017-12-19,"AS",880,12758,14747,93,2017-12-19 23:25:00,2017-12-19 00:01:00,2017-12-19 07:21:00,2017-12-19 07:37:00,0,NA,2688,"Tuesday",-1404,16
"792",2017-11-04,"NK",141,10821,12892,91,2017-11-04 08:42:00,2017-11-04 08:35:00,2017-11-04 11:30:00,2017-11-04 11:50:00,0,NA,2329,"Saturday",-7,20
"793",2017-12-01,"UA",1180,11618,13930,41,2017-12-01 16:55:00,2017-12-01 16:52:00,2017-12-01 18:35:00,2017-12-01 18:36:00,0,NA,719,"Friday",-3,1
"794",2017-10-02,"WN",572,12339,13204,33,2017-10-02 10:40:00,2017-10-02 10:40:00,2017-10-02 12:50:00,2017-10-02 12:46:00,0,NA,829,"Monday",0,-4
"795",2017-11-24,"F9",1778,13204,12391,22,2017-11-24 08:30:00,2017-11-24 08:29:00,2017-11-24 11:10:00,2017-11-24 11:03:00,0,NA,971,"Friday",-1,-7
"796",2017-10-25,"WN",1506,10397,13796,91,2017-10-25 15:25:00,2017-10-25 15:25:00,2017-10-25 17:45:00,2017-10-25 17:23:00,0,NA,2130,"Wednesday",0,-22
"797",2017-11-06,"WN",6071,14679,12889,85,2017-11-06 11:45:00,2017-11-06 12:00:00,2017-11-06 13:00:00,2017-11-06 13:01:00,0,NA,258,"Monday",15,1
"798",2017-10-13,"UA",716,11292,14107,81,2017-10-13 22:25:00,2017-10-13 22:21:00,2017-10-13 23:20:00,2017-10-13 23:14:00,0,NA,602,"Friday",-4,-6
"799",2017-12-15,"DL",790,12945,10397,34,2017-12-15 17:40:00,2017-12-15 17:42:00,2017-12-15 19:15:00,2017-12-15 19:13:00,0,NA,304,"Friday",2,-2
"800",2017-10-13,"OO",3492,14057,11884,93,2017-10-13 09:44:00,2017-10-13 09:58:00,2017-10-13 10:48:00,2017-10-13 11:22:00,0,NA,279,"Friday",14,34
"801",2017-12-23,"AS",331,14747,10299,1,2017-12-23 12:10:00,2017-12-23 12:05:00,2017-12-23 14:54:00,2017-12-23 14:34:00,0,NA,1448,"Saturday",-5,-20
"802",2017-12-22,"WN",1409,15376,12889,85,2017-12-22 12:05:00,2017-12-22 12:15:00,2017-12-22 12:25:00,2017-12-22 12:25:00,0,NA,365,"Friday",10,0
"803",2017-10-18,"WN",4592,12191,13244,54,2017-10-18 10:35:00,2017-10-18 10:43:00,2017-10-18 12:05:00,2017-10-18 12:09:00,0,NA,484,"Wednesday",8,4
"804",2017-11-18,"WN",6256,13796,12892,91,2017-11-18 12:25:00,2017-11-18 12:31:00,2017-11-18 13:50:00,2017-11-18 13:43:00,0,NA,337,"Saturday",6,-7
